Year,wyt_tnc,DoY_50pct_TotalQ,tot_vol_acft,ann_vol_percentile,SP_ROC,SP_ROC_pct,SP_Dur,SP_Dur_pct,SP_Mag,SP_Mag_pct,SP_Tim,SP_Tim_pct,Wet_BFL_Dur,Wet_BFL_Dur_pct,Wet_BFL_Mag_10,Wet_BFL_Mag_10_pct,Wet_BFL_Mag_50,Wet_BFL_Mag_50_pct,Wet_Tim,Wet_Tim_pct,DS_Dur_WS,DS_Dur_WS_pct,DS_Tim,DS_Tim_pct,DS_Mag_50,DS_Mag_50_pct,DS_Mag_90,DS_Mag_90_pct,FA_Dur,FA_Dur_pct,FA_Mag,FA_Mag_pct,FA_Tim,FA_Tim_pct
1987,Dry,207,775.436569843482,11.43,0.369770144628099,100,96,85.71,5718,17.14,226,17.14,90,11.43,554.8,20,2113.5,14.29,136,85.71,124,28.57,322,65.71000000000001,293,34.29,783.7,45.71,2,54.290000000000006,710.997947033668,45.71,1,17.14
1988,Dry,202,848.4458984693333,14.29,0.19634703196347,54.290000000000006,47,22.86,4484,8.57,238,40,158,57.14,717.7,31.430000000000003,1500.5,11.43,80,34.29,200,91.43,285,20,274.2476,31.430000000000003,669.1,22.86,2,54.290000000000006,454.975642697082,14.29,23,82.86
1989,Moderate,202,1365.4170993438497,48.57,0.233221476510067,68.57,90,80,5924,25.71,236,37.14,117,37.14,799.4,40,3782,62.86000000000001,119,65.71000000000001,172,71.43,326,68.57,429.0718,82.86,1128.2,71.43,4,91.43,425.028145635976,11.43,3,28.57
1990,Dry,199,915.4459241043083,28.57,0.338729763387298,94.28999999999999,109,97.14,5002,11.43,243,48.57,111,28.57,1054,60,2554,40,132,77.14,148,42.86,352,97.14,241,22.86,507.6,11.43,2,54.290000000000006,1133.99970854383,65.71000000000001,0,8.57
1991,Dry,229,1174.069179406957,40,0.154054054054054,40,46,20,9168,48.57,250,71.43,116,34.29,242.5,5.71,3101,48.57,134,80,187,85.71,296,37.14,369,60,715.2,28.57,2,54.290000000000006,490.361108129486,17.14,0,8.57
1992,Dry,201,861.2631666124412,17.14,0.252799407172943,82.86,103,91.43,5822,20,224,14.29,107,20,489.2,17.14,2325,31.430000000000003,117,62.86000000000001,119,22.86,327,71.43,211,17.14,672.2,25.71,5,94.28999999999999,2849.75351402552,91.43,25,85.71
1993,Wet,220,2592.4338379266364,77.14,0.180683738463538,48.57,57,37.14,11102,62.86000000000001,262,85.71,182,74.29,1455.3,80,5084.5,82.86,80,34.29,185,82.86,319,62.86000000000001,392.8393,77.14,852.6,48.57,2,54.290000000000006,528.999730134152,22.86,0,8.57
1994,Dry,213,899.6708968852997,20,0.282158052187917,88.57000000000001,43,8.57,6316,31.430000000000003,246,65.71000000000001,108,25.71,1182.2,68.57,2317.5,28.57,138,88.57000000000001,156,51.43,289,25.71,376.22575,62.86000000000001,1039,65.71000000000001,3,74.29,1117.83754590596,62.86000000000001,4,42.86
1995,Wet,228,3911.756788859021,97.14,0.106181235324823,11.43,62,51.43,17980,85.71,285,100,206,91.43,1985,100,6851,97.14,79,28.57,112,14.29,347,91.43,319,40,1187.4,77.14,3,74.29,773.988279052197,51.43,4,42.86
1996,Wet,212,2362.9895863910924,74.29,0.0974600456621005,8.57,76,71.43,37270,100,232,28.57,139,54.290000000000006,1270.4,77.14,4491,77.14,93,48.57,89,2.86,308,48.57,364,57.14,715.4,31.430000000000003,2,54.290000000000006,624.999109683732,37.14,1,17.14
1997,Wet,138,3254.8175328940342,85.71,0.204697062120126,62.86000000000001,48,25.71,11059,60,246,65.71000000000001,215,97.14,1091.4,62.86000000000001,4374,71.43,31,2.86,156,51.43,294,34.29,432.5,85.71,1045.57415,68.57,3,74.29,637.985505836364,40,7,54.290000000000006
1998,Wet,230,3385.9144730836138,91.43,0.0723570958976024,2.86,62,51.43,15740,71.43,267,94.28999999999999,183,77.14,1644.8,94.28999999999999,5635,91.43,84,37.14,129,34.29,329,74.29,644.6547,100,1422.2,82.86,1,8.57,5999.76810006844,97.14,6,51.43
1999,Moderate,220,2120.580893992508,71.43,0.27526132404181203,85.71,94,82.86,10061,54.290000000000006,260,82.86,168,62.86000000000001,1196.9,71.43,3586,60,92,45.71,103,11.43,354,100,331.3505,42.86,586.33576,17.14,2,54.290000000000006,1288.87713028528,74.29,37,94.28999999999999
2000,Moderate,209,2004.6325732651896,68.57,0.247113163972286,80,81,74.29,6876,34.29,263,88.57000000000001,172,68.57,1028.9,54.290000000000006,4478,74.29,91,42.86,142,40,344,85.71,400.84135,80,775,42.86,4,91.43,560.978976622579,28.57,15,68.57
2001,Dry,210,1146.0502948810854,37.14,0.146684652121718,28.57,45,14.29,10379,57.14,224,14.29,104,17.14,745.7,34.29,2339.5,34.29,120,71.43,169,60,269,2.86,364,57.14,905.600000000001,54.290000000000006,3,74.29,884.903061465236,54.290000000000006,15,68.57
2002,Dry,206,1468.5178118570466,51.43,0.217486684185503,65.71000000000001,46,20,9698,51.43,246,65.71000000000001,174,71.43,902.9,45.71,2299.5,22.86,72,22.86,224,97.14,292,31.430000000000003,448.34695,88.57000000000001,1568,91.43,2,54.290000000000006,546.99048783611,25.71,17,77.14
2003,Moderate,230,1694.360137524404,60,0.240620104265472,71.43,105,94.28999999999999,16889,80,244,54.290000000000006,94,14.29,1115.7,65.71000000000001,3379,57.14,150,100,137,37.14,349,94.28999999999999,387,68.57,1612.6,94.28999999999999,1,8.57,1341.16951512774,77.14,36,91.43
2004,Moderate,195,1351.6457850684571,45.71,0.301998681325955,91.43,102,88.57000000000001,7171,40,245,57.14,125,42.86,1050.4,57.14,3930,65.71000000000001,120,71.43,96,5.71,347,91.43,624.5,97.14,1459,85.71,3,74.29,515.905283494164,20,4,42.86
2005,Wet,227,2991.990077595177,80,0.112035010940919,14.29,72,62.86000000000001,22172,94.28999999999999,241,45.71,164,60,1577.6,91.43,4627,80,77,25.71,122,25.71,313,51.43,364,57.14,872.76202,51.43,4,91.43,3017.00931224635,94.28999999999999,18,80
2006,Wet,215,3342.790566863054,88.57000000000001,0.114620726495726,17.14,64,57.14,15883,74.29,253,74.29,184,80,1512.2,82.86,5541.5,88.57000000000001,69,20,161,54.290000000000006,317,57.14,390,74.29,757.5845,40,2,54.290000000000006,930.979477504918,57.14,26,88.57000000000001
2007,Dry,198,900.5091431835397,22.86,0.201712654614653,60,45,14.29,6034,28.57,227,20,115,31.430000000000003,473.8,11.43,2313,25.71,112,60,201,94.28999999999999,272,8.57,300.0401,37.14,605,20,2,54.290000000000006,1817.95584390853,85.71,44,97.14
2008,Moderate,217,1176.301684294837,42.86,0.185185932773654,51.43,53,31.430000000000003,11210,65.71000000000001,233,34.29,126,48.57,944.5,48.57,2140,17.14,107,57.14,176,77.14,286,22.86,254.50695,25.71,932,60,2,54.290000000000006,1150.99684318543,68.57,1,17.14
2009,Moderate,214,1682.05004634314,57.14,0.178793053995383,45.71,75,68.57,13322,68.57,233,34.29,137,51.43,964.8,51.43,3002,45.71,96,51.43,189,88.57000000000001,308,48.57,337,48.57,1666.8,100,1,8.57,399.988480720748,5.71,2,22.86
2010,Moderate,230,1920.708888871839,65.71000000000001,0.15700568452253,42.86,60,45.71,16546,77.14,255,77.14,124,40,1526.8,85.71,3941,68.57,131,74.29,97,8.57,315,54.290000000000006,331.8584,45.71,1369.8,80,4,91.43,1420.39064414449,80,11,60
2011,Wet,218,3532.2163209952346,94.29,0.152858809801634,34.29,64,57.14,20682,91.43,275,97.14,229,100,1757.8,97.14,5367,85.71,46,11.43,172,71.43,339,80,389,71.43,963.9,62.86000000000001,2,54.290000000000006,1154.00324109125,71.43,4,42.86
2012,Dry,207,912.5466751476404,25.71,0.0793334339597327,5.71,56,34.29,8084,42.86,218,5.71,73,8.57,699.2,28.57,2167,20,145,94.28999999999999,125,31.430000000000003,274,11.43,173,8.57,388.579,8.57,3,74.29,1602.98462373725,82.86,5,48.57
2013,Dry,192,1098.5002232266286,34.29,0.245920303605313,77.14,75,68.57,6969,37.14,229,22.86,196,88.57000000000001,567,22.86,1466.5,8.57,33,5.71,168,57.14,304,42.86,174.0076,11.43,374.9552,5.71,4,91.43,405.985630222757,8.57,12,62.86000000000001
2014,Dry,203,642.4846187663397,5.71,0.13035204567079,25.71,60,45.71,4221,5.71,232,28.57,126,48.57,299.26715,8.57,1424,5.71,106,54.290000000000006,117,17.14,292,31.430000000000003,91.2356,2.86,229.8,2.86,2,54.290000000000006,268.001021095136,2.86,5,48.57
2015,NA,191,613.0358821505555,2.86,0.197153117317201,57.14,33,2.86,3744,2.86,239,42.86,196,88.57000000000001,239.5,2.86,932,2.86,43,8.57,155,45.71,272,8.57,178,14.29,576,14.29,4,91.43,638.989704909071,42.86,2,22.86
2016,NA,194,1817.2500978008052,62.86000000000001,0.115324657579622,20,52,28.57,8977,45.71,248,68.57,187,82.86,849.4,42.86,3360,54.290000000000006,61,17.14,119,22.86,300,40,153,5.71,1626.8,97.14,6,97.14,583.970779046859,31.430000000000003,17,77.14
2017,NA,191,4863.70261606888,100,0.153923411761479,37.14,67,60,20149,88.57000000000001,266,91.43,213,94.28999999999999,1540,88.57000000000001,7598,100,53,14.29,172,71.43,333,77.14,544.5,94.28999999999999,1472.8,88.57000000000001,8,100,14941.7088659058,100,16,71.43
2018,NA,192,1680.62596880294,54.290000000000006,0.152711703139867,31.430000000000003,90,80,29237,97.14,193,2.86,54,2.86,486.4,14.29,3291,51.43,139,91.43,171,62.86000000000001,283,17.14,378,65.71000000000001,928,57.14,3,74.29,2540.91447280412,88.57000000000001,45,100
2019,NA,219,3001.22765288183,82.86,0.118618618618619,22.86,60,45.71,17784,82.86,259,80,171,65.71000000000001,1244,74.29,5737,94.28999999999999,88,40,183,80,319,62.86000000000001,485,91.43,1132,74.29,2,54.290000000000006,607.970729445742,34.29,3,28.57
2020,NA,211,998.357766271232,31.430000000000003,0.359227447271567,97.14,37,5.71,5498,14.29,244,54.290000000000006,108,25.71,752.3,37.14,2963.5,42.86,136,85.71,234,100,281,14.29,274.22195,28.57,755,37.14,2,54.290000000000006,972.985316663822,60,8,57.14
2021,NA,206,662.5578260126249,8.57,0.24357736140622,74.29,119,100,5862,22.86,221,8.57,72,5.71,657.2,25.71,2441.5,37.14,149,97.14,175,74.29,340,82.86,239.5846,20,743.6,34.29,2,54.290000000000006,715.914794486228,48.57,4,42.86
