"","max","min","ten","fifty","ninty","twenty_five","seventy_five","days"
"1",0.9,0.01,0.04,0.15,0.41,0.07,0.28,1
"2",0.71,0,0.03,0.12,0.4,0.07,0.27,2
"3",0.76,0,0.03,0.13,0.34,0.06,0.19,3
"4",0.56,0.02,0.05,0.14,0.39,0.07,0.24,4
"5",0.9,0.01,0.04,0.17,0.67,0.08,0.26,5
"6",1.28,0.01,0.01,0.12,0.29,0.04,0.18,6
"7",1.29,0.01,0.03,0.12,0.42,0.06,0.2,7
"8",0.64,0.01,0.03,0.11,0.31,0.07,0.2,8
"9",0.9,0,0.03,0.1,0.4,0.05,0.21,9
"10",0.94,0,0.02,0.1,0.35,0.06,0.2,10
"11",1.67,0.01,0.03,0.17,0.43,0.08,0.23,11
"12",1.59,0,0.01,0.14,0.43,0.05,0.21,12
"13",1.13,0.01,0.03,0.11,0.46,0.04,0.25,13
"14",3.75,0.01,0.02,0.11,0.37,0.04,0.24,14
"15",1.72,0.01,0.03,0.09,0.36,0.04,0.22,15
"16",0.68,0.02,0.04,0.09,0.46,0.05,0.23,16
"17",2.23,0,0.03,0.13,0.56,0.07,0.26,17
"18",0.92,0.01,0.04,0.16,0.37,0.08,0.29,18
"19",0.73,0.01,0.04,0.13,0.32,0.09,0.2,19
"20",0.72,0.03,0.05,0.15,0.43,0.07,0.24,20
"21",0.48,0.02,0.04,0.12,0.37,0.07,0.22,21
"22",0.59,0,0.05,0.1,0.39,0.06,0.22,22
"23",1.76,0.01,0.05,0.12,0.32,0.07,0.25,23
"24",5.47,0.02,0.05,0.14,0.47,0.07,0.28,24
"25",5.95,0.03,0.05,0.16,0.44,0.1,0.27,25
"26",2.4,0.02,0.04,0.16,0.63,0.08,0.31,26
"27",1.42,0.01,0.04,0.17,0.55,0.07,0.34,27
"28",0.98,0,0.02,0.15,0.46,0.06,0.34,28
"29",1.47,0.04,0.05,0.16,0.59,0.09,0.35,29
"30",0.77,0.01,0.03,0.15,0.62,0.11,0.28,30
"31",1.75,0,0.02,0.17,0.48,0.1,0.3,31
"32",1.52,0.02,0.04,0.16,0.36,0.09,0.24,32
"33",2.71,0,0.04,0.12,0.29,0.08,0.24,33
"34",1.4,0.01,0.03,0.16,0.34,0.07,0.22,34
"35",0.85,0.01,0.04,0.13,0.35,0.09,0.27,35
"36",0.83,0.02,0.05,0.17,0.46,0.09,0.27,36
"37",1.34,0,0.04,0.12,0.43,0.08,0.22,37
"38",0.74,0.02,0.07,0.17,0.38,0.09,0.26,38
"39",5.03,0.02,0.06,0.15,0.5,0.08,0.31,39
"40",3.53,0.03,0.05,0.17,0.45,0.09,0.31,40
"41",1.12,0.02,0.06,0.16,0.49,0.09,0.33,41
"42",0.69,0.01,0.04,0.17,0.42,0.07,0.29,42
"43",0.71,0.01,0.02,0.15,0.44,0.06,0.26,43
"44",0.88,0.04,0.07,0.2,0.54,0.1,0.33,44
"45",1.46,0.02,0.06,0.19,0.44,0.08,0.33,45
"46",1.1,0,0.03,0.24,0.44,0.1,0.32,46
"47",1.03,0.01,0.07,0.17,0.48,0.09,0.33,47
"48",7.58,0.03,0.07,0.24,0.64,0.12,0.32,48
"49",2.08,0.02,0.06,0.21,0.87,0.11,0.38,49
"50",1.01,0,0.06,0.21,0.6,0.1,0.31,50
"51",0.81,0.01,0.05,0.22,0.57,0.12,0.34,51
"52",1.06,0,0.07,0.23,0.62,0.1,0.41,52
"53",2.44,0.01,0.06,0.19,0.63,0.11,0.33,53
"54",1.24,0.02,0.07,0.23,0.71,0.11,0.48,54
"55",2.06,0.05,0.1,0.25,0.71,0.13,0.42,55
"56",1.17,0,0.07,0.23,0.61,0.11,0.39,56
"57",1.12,0.06,0.09,0.2,0.66,0.14,0.33,57
"58",1.23,0.08,0.09,0.19,0.38,0.13,0.29,58
"59",1.04,0.01,0.06,0.2,0.45,0.12,0.32,59
"60",0.84,0,0.09,0.26,0.64,0.14,0.39,60
"61",2.32,0.05,0.07,0.23,0.67,0.14,0.47,61
"62",3.91,0.02,0.05,0.25,1.16,0.09,0.62,62
"63",7.98,0.01,0.05,0.28,1.32,0.12,0.41,63
"64",9.41,0.04,0.06,0.19,1.21,0.1,0.38,64
"65",5.97,0,0.06,0.2,0.76,0.11,0.45,65
"66",2.46,0.01,0.08,0.19,0.87,0.12,0.44,66
"67",3.35,0,0.08,0.23,1.04,0.11,0.55,67
"68",2.22,0.03,0.09,0.28,1.07,0.15,0.52,68
"69",2.52,0.01,0.09,0.19,0.76,0.12,0.45,69
"70",1.15,0.03,0.08,0.28,0.73,0.15,0.52,70
"71",3.47,0.01,0.1,0.27,0.85,0.14,0.46,71
"72",3.47,0.05,0.12,0.31,0.88,0.17,0.47,72
"73",3.74,0.02,0.09,0.38,0.97,0.16,0.64,73
"74",2.21,0.04,0.12,0.43,1.07,0.2,0.67,74
"75",1.4,0.03,0.1,0.34,0.79,0.19,0.65,75
"76",1.06,0.1,0.12,0.29,0.8,0.17,0.55,76
"77",4.79,0.05,0.12,0.29,0.88,0.16,0.56,77
"78",1.63,0.02,0.13,0.26,0.86,0.18,0.53,78
"79",3.32,0.01,0.1,0.33,0.7,0.19,0.54,79
"80",4.68,0,0.14,0.33,0.87,0.2,0.48,80
"81",3.51,0.04,0.12,0.27,0.71,0.18,0.52,81
"82",1.99,0,0.08,0.28,0.91,0.14,0.46,82
"83",6.9,0.01,0.08,0.29,1.58,0.16,0.68,83
"84",3.43,0.05,0.11,0.33,1.13,0.15,0.65,84
"85",4.3,0.01,0.09,0.31,1.03,0.17,0.51,85
"86",2.11,0.03,0.12,0.27,1.05,0.16,0.73,86
"87",2.93,0.05,0.13,0.26,1.06,0.18,0.61,87
"88",1.98,0.03,0.12,0.27,0.82,0.18,0.52,88
"89",1.67,0.01,0.14,0.25,0.89,0.19,0.61,89
"90",3.8,0.05,0.11,0.36,1.15,0.23,0.91,90
"91",4.28,0.04,0.11,0.34,1.07,0.16,0.71,91
"92",9.43,0.02,0.15,0.33,1.51,0.2,0.6,92
"93",17.83,0.04,0.1,0.29,1.25,0.17,0.67,93
"94",31.26,0.09,0.14,0.38,1.49,0.2,0.59,94
"95",11.18,0.09,0.12,0.29,1.47,0.17,0.72,95
"96",4.07,0.03,0.1,0.34,1.38,0.24,0.79,96
"97",3.25,0.03,0.1,0.41,1.75,0.19,0.85,97
"98",2.07,0.02,0.2,0.48,1.25,0.26,0.66,98
"99",2.97,0.04,0.12,0.55,1.18,0.22,0.72,99
"100",5.28,0.09,0.18,0.56,1.07,0.29,0.73,100
"101",9.64,0.11,0.19,0.47,1,0.29,0.73,101
"102",4.72,0.05,0.18,0.47,1.71,0.26,0.87,102
"103",4.29,0.06,0.18,0.46,1.12,0.31,0.61,103
"104",2.33,0.02,0.1,0.42,1.17,0.2,0.63,104
"105",2.53,0.06,0.16,0.43,1.32,0.28,0.79,105
"106",4.27,0,0.19,0.48,0.95,0.25,0.6,106
"107",4.49,0.13,0.2,0.38,1.06,0.26,0.7,107
"108",2.4,0.15,0.23,0.51,1.3,0.3,0.69,108
"109",2.42,0.1,0.27,0.55,1.25,0.37,0.78,109
"110",1.97,0.01,0.24,0.51,1.26,0.28,0.87,110
"111",3.38,0.1,0.31,0.61,1.21,0.39,0.82,111
"112",4.21,0.09,0.2,0.52,1.32,0.32,0.82,112
"113",6.99,0.14,0.19,0.53,1.37,0.29,0.87,113
"114",3.72,0.02,0.18,0.48,1.48,0.31,0.66,114
"115",3.63,0.03,0.13,0.51,2.33,0.36,0.88,115
"116",5.28,0.02,0.17,0.54,1.71,0.39,1.05,116
"117",5.54,0.08,0.25,0.64,1.98,0.39,1.06,117
"118",6.79,0.01,0.19,0.54,1.47,0.31,0.85,118
"119",2.94,0.22,0.28,0.57,1.47,0.39,0.94,119
"120",2.63,0.15,0.31,0.53,1.27,0.37,0.89,120
"121",1.6,0.03,0.26,0.5,1.06,0.35,0.78,121
"122",2.02,0,0.29,0.55,0.81,0.4,0.69,122
"123",2.61,0.1,0.28,0.49,0.98,0.39,0.76,123
"124",1.66,0.11,0.24,0.48,1.08,0.37,0.72,124
"125",1.94,0.04,0.21,0.53,0.96,0.34,0.62,125
"126",5.47,0.17,0.25,0.59,1.01,0.39,0.79,126
"127",3.68,0.09,0.21,0.55,1.19,0.35,0.81,127
"128",6.71,0.1,0.21,0.47,0.85,0.38,0.65,128
"129",3.1,0.09,0.22,0.58,1.04,0.33,0.74,129
"130",4.37,0.01,0.25,0.6,2.16,0.4,0.75,130
"131",10.67,0.04,0.27,0.58,2.19,0.38,0.89,131
"132",15.6,0.08,0.3,0.6,3.14,0.45,1.1,132
"133",7.27,0.1,0.34,0.68,3.24,0.44,1.14,133
"134",5.98,0.13,0.27,0.72,1.76,0.4,0.97,134
"135",2.59,0.14,0.31,0.65,1.97,0.38,1.22,135
"136",6.43,0.18,0.36,0.68,1.91,0.45,1.04,136
"137",7.95,0.17,0.37,0.67,1.96,0.51,1.12,137
"138",5.58,0.14,0.31,0.63,1.86,0.44,1.02,138
"139",2.79,0.14,0.18,0.74,1.56,0.42,1.14,139
"140",2.39,0.13,0.4,0.86,1.69,0.52,1.21,140
"141",2.29,0.13,0.22,0.81,1.45,0.46,1.25,141
"142",4.38,0.13,0.35,0.79,1.53,0.58,1.12,142
"143",3.85,0.02,0.33,0.78,1.91,0.44,1.31,143
"144",4.7,0.08,0.2,0.66,1.77,0.4,1.09,144
"145",2.61,0.12,0.37,0.86,1.53,0.53,1.15,145
"146",3.48,0.09,0.27,0.86,1.75,0.44,1.17,146
"147",3.9,0.05,0.35,0.94,1.62,0.63,1.26,147
"148",3.1,0.02,0.26,0.86,1.57,0.58,1.09,148
"149",3.6,0.1,0.45,0.88,1.61,0.64,1.08,149
"150",5.6,0.2,0.35,0.92,2.54,0.61,1.29,150
"151",4.78,0.07,0.28,0.92,2.04,0.48,1.3,151
"152",4.19,0.39,0.43,0.82,1.78,0.62,1.17,152
"153",2.67,0.13,0.49,0.89,1.99,0.67,1.24,153
"154",5.01,0.28,0.68,1.09,1.74,0.82,1.52,154
"155",6.8,0.17,0.57,1.02,2.13,0.71,1.43,155
"156",6.34,0.38,0.6,0.95,2.43,0.78,1.54,156
"157",3.9,0.28,0.49,1.23,2.96,0.76,2.25,157
"158",8.01,0.44,0.52,1.18,3,0.75,1.69,158
"159",7.35,0.44,0.6,1.13,2,0.73,1.46,159
"160",4.85,0.47,0.67,1.08,1.85,0.75,1.47,160
"161",8.75,0.42,0.66,0.96,1.8,0.82,1.47,161
"162",7.21,0.45,0.68,0.9,1.56,0.8,1.39,162
"163",2.92,0.56,0.66,0.97,2,0.81,1.46,163
"164",2.98,0.36,0.72,1.19,2.3,0.86,1.69,164
"165",4.96,0.47,0.75,1.06,2.04,0.88,1.54,165
"166",5.23,0.5,0.72,1.08,2.48,0.78,1.73,166
"167",3.05,0.29,0.75,1.33,2.49,0.9,1.63,167
"168",3.98,0.76,0.81,1.22,2.54,0.96,1.66,168
"169",5.5,0.46,0.74,1.33,2.16,0.94,1.65,169
"170",3.18,0.7,0.79,1.25,2.34,1.05,1.65,170
"171",4.45,0.82,0.98,1.26,2.57,1.07,1.82,171
"172",3.99,0.59,0.96,1.57,2.6,1.08,1.92,172
"173",18.24,0.55,0.87,1.47,2.63,1.08,1.88,173
"174",12.24,0.57,1.04,1.51,2.56,1.19,2.01,174
"175",4.27,0.68,0.92,1.41,2.79,1.13,2.14,175
"176",5.72,0.74,0.95,1.32,3.3,1.16,1.97,176
"177",3.28,0.71,1.03,1.4,2.67,1.15,1.9,177
"178",2.75,0.89,1.11,1.36,2.16,1.13,1.93,178
"179",3.23,0.89,1.01,1.48,2.3,1.2,1.7,179
"180",3.82,0.73,0.91,1.52,2.23,1.09,1.74,180
"181",3.41,0.82,1,1.35,2.29,1.2,1.84,181
"182",3.2,0.4,1.04,1.57,2.47,1.21,1.94,182
"183",3.52,0.49,0.95,1.55,2.64,1.11,2.25,183
"184",3.21,0.61,1,1.49,2.62,1.15,2.21,184
"185",4.45,0.62,0.86,1.75,2.59,1.25,2.2,185
"186",7.4,0.59,0.94,1.8,2.69,1.18,2.06,186
"187",4.23,0.68,1.03,1.65,3.03,1.2,2.49,187
"188",3.28,0.5,1,1.53,2.96,1.18,2.33,188
"189",9.31,0.7,1.01,1.72,3.21,1.31,2.29,189
"190",12.62,0.64,1.17,2.03,3.19,1.37,2.52,190
"191",6.18,0.7,1.16,1.68,3.12,1.28,2.71,191
"192",4.59,0.52,1.05,1.72,3.26,1.36,2.58,192
"193",4.34,0.52,0.88,1.65,3.32,1.27,2.78,193
"194",4.02,0.61,1.01,1.88,3.36,1.22,2.56,194
"195",4.32,0.64,1.14,1.84,3.37,1.22,2.86,195
"196",5.1,0.75,1.11,2.02,3.82,1.32,3.23,196
"197",4.11,0.92,1.06,1.92,3.62,1.36,2.97,197
"198",4.11,0.78,1.05,1.88,3.51,1.3,2.75,198
"199",3.71,0.84,1.18,1.82,3.45,1.42,2.45,199
"200",4.42,0.81,1.25,1.85,3.52,1.46,2.62,200
"201",5.76,0.77,1.18,1.81,4.12,1.52,2.41,201
"202",5.16,0.68,1.2,2.06,3.9,1.5,2.89,202
"203",4.97,0.85,1.21,1.98,4.01,1.42,2.97,203
"204",6.38,0.7,1.17,1.97,3.68,1.66,3,204
"205",5.73,0.73,1.17,1.82,3.75,1.4,2.95,205
"206",6.97,0.9,1.27,2,3.52,1.54,2.9,206
"207",7.81,0.99,1.17,2.14,4.05,1.57,2.82,207
"208",7.49,0.97,1.29,2.25,4.18,1.66,3.15,208
"209",8.73,1.1,1.42,2.31,4.49,1.62,3.41,209
"210",9.68,1.25,1.46,2.67,4.48,1.84,3.71,210
"211",4.95,1.18,1.29,2.73,4.38,1.56,3.69,211
"212",5.93,1.18,1.33,2.56,4.76,1.71,3.59,212
"213",6.54,1.15,1.34,2.57,4.88,1.73,4.12,213
"214",7.46,1.29,1.51,2.69,5.12,1.84,3.82,214
"215",6.43,1.3,1.65,2.67,4.7,1.92,3.14,215
"216",5.46,1.4,1.67,2.71,4.7,2.21,3.35,216
"217",6.17,1.64,1.88,2.66,4.28,2.14,3.5,217
"218",6.42,1.51,1.82,2.6,4.36,2.1,3.63,218
"219",6.32,1.46,1.76,2.76,4.16,2.11,3.54,219
"220",6.3,1.21,1.72,3.02,4.4,2.15,3.44,220
"221",6.57,1.34,1.83,3.1,4.89,2.14,3.8,221
"222",5.93,1.3,1.56,2.81,4.28,2.24,3.8,222
"223",5.84,1.41,1.7,2.87,4.79,2.21,3.72,223
"224",5.71,1.56,1.78,2.83,4.74,2.18,3.66,224
"225",5.94,1.36,1.89,2.89,4.41,2.15,3.77,225
"226",5.05,1.12,1.77,3.08,4.43,2.25,3.68,226
"227",5.11,1.12,1.55,2.85,4.23,2.32,3.88,227
"228",7.24,1.07,1.56,3.35,4.68,2.15,4.13,228
"229",11.45,0.94,1.42,3.01,5.1,2.29,4.1,229
"230",6.92,1.02,1.4,2.97,4.67,2.23,3.76,230
"231",6.89,1.13,1.5,2.91,4.74,2.15,3.95,231
"232",6.56,1.24,1.63,2.98,4.31,2.16,3.45,232
"233",5.64,1.38,1.57,3.05,4.22,1.99,3.58,233
"234",5.21,0.98,1.6,2.84,4.22,2.14,3.43,234
"235",6.03,1.29,1.37,2.55,4.11,1.74,3.65,235
"236",5.26,1.26,1.38,2.39,4.39,1.75,3.75,236
"237",7.27,1.09,1.42,2.38,4.22,1.71,3.4,237
"238",5.95,1.06,1.28,2.34,4.66,1.64,3.34,238
"239",5.63,0.99,1.19,2.29,4.31,1.6,3.38,239
"240",6.73,1.29,1.43,2.05,4.34,1.59,3.44,240
"241",7.23,0.75,1.48,2.29,4,1.82,3.19,241
"242",6.66,1.26,1.6,2.17,3.79,1.93,3.18,242
"243",5.52,1.16,1.46,2.36,3.65,1.97,2.97,243
"244",5.22,1.08,1.56,2.4,3.74,1.97,3.12,244
"245",5.74,1.19,1.59,2.32,3.51,1.91,2.89,245
"246",5.41,0.97,1.43,2.28,3.5,1.99,2.83,246
"247",5.67,1.18,1.33,2.11,3.35,1.75,3.08,247
"248",6.11,1.03,1.44,2.27,3.66,1.91,3.08,248
"249",7,0.82,1.45,2.33,4.23,1.77,2.94,249
"250",7.93,0.69,1.39,1.89,3.67,1.7,2.9,250
"251",6.77,0.73,1.17,2,3.41,1.51,2.98,251
"252",6.25,0.73,1.04,1.92,3.21,1.47,2.9,252
"253",5.37,0.26,0.81,1.82,3.02,1.35,2.69,253
"254",4.61,0.6,0.81,1.87,3.14,1.17,2.7,254
"255",4.61,0.22,0.89,1.78,3.32,1.04,2.66,255
"256",4.37,0.57,0.8,1.86,3.04,1.05,2.63,256
"257",4.06,0.39,0.69,1.55,3.19,1.08,2.81,257
"258",3.78,0.5,0.7,1.47,3.4,0.98,2.61,258
"259",4.36,0.37,0.56,1.56,3.43,0.95,2.59,259
"260",4.28,0.25,0.54,1.5,3.15,0.96,2.41,260
"261",3.64,0.39,0.44,1.38,3.01,0.74,2.27,261
"262",3.34,0.15,0.42,1.33,2.91,0.59,2.03,262
"263",3.31,0.24,0.53,1.46,3.03,0.75,2.1,263
"264",3.41,0.26,0.51,1.3,2.88,0.74,2,264
"265",3.52,0.2,0.4,1.23,2.61,0.58,2.1,265
"266",3.66,0.02,0.26,1.23,2.71,0.47,1.85,266
"267",3.46,0.1,0.35,1.13,2.69,0.51,2.1,267
"268",3.13,0.04,0.32,0.95,3.02,0.58,2.07,268
"269",3.47,0.07,0.34,1.09,2.58,0.69,1.88,269
"270",3.63,0.1,0.31,1.09,2.51,0.52,1.66,270
"271",3.36,0.06,0.27,0.94,2.58,0.52,1.66,271
"272",4.25,0.06,0.26,0.84,2.71,0.46,1.47,272
"273",3.53,0.11,0.26,0.82,2.37,0.42,1.32,273
"274",3.12,0.17,0.23,0.74,2.11,0.44,1.46,274
"275",2.79,0.13,0.23,0.71,2.08,0.37,1.41,275
"276",2.67,0.17,0.31,0.68,2.05,0.44,1.38,276
"277",2.7,0.08,0.19,0.61,1.66,0.38,1.17,277
"278",2.76,0.17,0.26,0.63,1.63,0.38,1.29,278
"279",2.77,0.1,0.26,0.54,1.74,0.36,1.12,279
"280",3.09,0.02,0.23,0.54,1.63,0.33,1.07,280
"281",2.93,0.09,0.23,0.47,1.7,0.37,0.89,281
"282",3.34,0.02,0.18,0.37,1.44,0.24,0.87,282
"283",3.06,0.09,0.15,0.36,1.32,0.19,0.93,283
"284",2.39,0.07,0.15,0.41,1.32,0.32,0.9,284
"285",2.21,0.1,0.21,0.42,1.27,0.26,0.88,285
"286",2.09,0.1,0.17,0.44,1.34,0.24,0.88,286
"287",2.26,0.04,0.2,0.43,1.23,0.29,0.85,287
"288",1.86,0.08,0.2,0.46,1.15,0.28,0.8,288
"289",2.28,0.02,0.2,0.35,1.18,0.23,0.74,289
"290",1.94,0.08,0.2,0.38,0.99,0.26,0.63,290
"291",1.87,0.02,0.1,0.31,1.04,0.18,0.63,291
"292",1.81,0.04,0.06,0.27,1,0.16,0.56,292
"293",1.7,0.1,0.13,0.31,0.81,0.21,0.59,293
"294",1.58,0.05,0.11,0.38,0.87,0.18,0.57,294
"295",1.57,0.01,0.08,0.34,0.69,0.16,0.48,295
"296",1.47,0.02,0.12,0.27,0.6,0.18,0.53,296
"297",1.31,0.05,0.1,0.27,0.6,0.15,0.43,297
"298",1.16,0.02,0.09,0.29,0.59,0.14,0.4,298
"299",1.1,0.03,0.1,0.3,0.71,0.16,0.46,299
"300",1.16,0.06,0.13,0.27,0.68,0.18,0.48,300
"301",1.17,0.03,0.08,0.21,0.66,0.13,0.39,301
"302",1.3,0.07,0.1,0.23,0.63,0.14,0.4,302
"303",1.64,0.03,0.06,0.19,0.52,0.11,0.37,303
"304",1.21,0,0.1,0.23,0.66,0.14,0.41,304
"305",0.99,0.04,0.08,0.23,0.63,0.14,0.34,305
"306",1.49,0.02,0.07,0.23,0.59,0.12,0.34,306
"307",1.44,0.05,0.07,0.18,0.51,0.12,0.27,307
"308",0.87,0.04,0.07,0.2,0.57,0.11,0.39,308
"309",0.86,0.01,0.05,0.19,0.4,0.11,0.34,309
"310",0.83,0.05,0.08,0.19,0.41,0.11,0.29,310
"311",1.08,0,0.08,0.23,0.37,0.17,0.3,311
"312",0.73,0.05,0.09,0.21,0.42,0.15,0.35,312
"313",0.64,0.02,0.06,0.23,0.42,0.15,0.34,313
"314",0.64,0.06,0.09,0.21,0.41,0.13,0.3,314
"315",0.53,0,0.05,0.17,0.34,0.11,0.29,315
"316",0.51,0.04,0.08,0.2,0.4,0.12,0.26,316
"317",0.6,0.01,0.05,0.2,0.35,0.14,0.25,317
"318",0.49,0,0.04,0.15,0.35,0.09,0.29,318
"319",0.61,0.02,0.07,0.19,0.46,0.11,0.35,319
"320",0.65,0.02,0.06,0.16,0.5,0.08,0.31,320
"321",0.66,0.03,0.06,0.18,0.43,0.1,0.27,321
"322",0.51,0.03,0.05,0.14,0.4,0.09,0.27,322
"323",0.38,0.01,0.03,0.17,0.3,0.07,0.2,323
"324",0.63,0.01,0.06,0.14,0.25,0.1,0.19,324
"325",0.37,0,0.07,0.15,0.3,0.11,0.2,325
"326",0.52,0.02,0.04,0.12,0.31,0.07,0.19,326
"327",0.48,0.03,0.04,0.13,0.38,0.09,0.21,327
"328",0.34,0.01,0.05,0.16,0.29,0.1,0.26,328
"329",0.49,0,0.05,0.15,0.27,0.09,0.22,329
"330",0.42,0.01,0.04,0.14,0.3,0.08,0.21,330
"331",0.58,0.06,0.09,0.17,0.27,0.11,0.23,331
"332",0.43,0,0.04,0.1,0.29,0.07,0.18,332
"333",0.46,0.02,0.05,0.15,0.3,0.08,0.25,333
"334",0.46,0.01,0.05,0.14,0.31,0.08,0.23,334
"335",0.6,0.01,0.04,0.1,0.29,0.06,0.16,335
"336",0.4,0.01,0.06,0.13,0.31,0.09,0.22,336
"337",0.45,0,0.04,0.13,0.27,0.06,0.22,337
"338",0.39,0.01,0.04,0.12,0.27,0.05,0.17,338
"339",0.41,0,0.04,0.11,0.2,0.06,0.16,339
"340",0.5,0.03,0.04,0.09,0.21,0.06,0.13,340
"341",0.41,0,0.03,0.11,0.26,0.06,0.17,341
"342",0.7,0.04,0.05,0.14,0.29,0.09,0.25,342
"343",1.12,0.02,0.04,0.13,0.29,0.07,0.21,343
"344",0.72,0,0.03,0.13,0.34,0.07,0.24,344
"345",0.51,0.03,0.04,0.12,0.41,0.06,0.21,345
"346",0.59,0.03,0.05,0.14,0.32,0.07,0.2,346
"347",0.34,0.02,0.04,0.11,0.25,0.06,0.16,347
"348",0.33,0,0.04,0.11,0.2,0.07,0.17,348
"349",0.35,0.01,0.05,0.1,0.21,0.07,0.15,349
"350",0.38,0.01,0.03,0.1,0.24,0.06,0.15,350
"351",0.57,0,0.02,0.11,0.23,0.08,0.15,351
"352",0.44,0.01,0.04,0.09,0.22,0.05,0.16,352
"353",0.57,0,0.03,0.1,0.34,0.05,0.2,353
"354",0.42,0.01,0.05,0.12,0.29,0.08,0.17,354
"355",0.25,0.02,0.03,0.11,0.21,0.06,0.17,355
"356",0.46,0.01,0.02,0.11,0.23,0.05,0.16,356
"357",0.27,0.01,0.04,0.08,0.23,0.06,0.14,357
"358",0.54,0,0.01,0.07,0.22,0.03,0.17,358
"359",0.27,0.01,0.02,0.08,0.23,0.06,0.14,359
"360",0.29,0,0.02,0.13,0.2,0.05,0.17,360
"361",0.49,0,0.04,0.12,0.27,0.06,0.17,361
"362",0.41,0,0.02,0.12,0.27,0.06,0.18,362
"363",0.63,0,0.02,0.1,0.21,0.04,0.18,363
"364",0.72,0.01,0.04,0.11,0.29,0.07,0.18,364
"365",0.66,0,0.03,0.11,0.33,0.06,0.18,365
"366",0.66,0.02,0.03,0.11,0.33,0.06,0.2,366
